Value,"County, State"
229500.0,"Miami, KS"
69491.0,"Labette, KS"
235000.0,"Pottawatomie, KS"
120000.0,"Dickinson, KS"
89000.0,"Cowley, KS"
89000.0,"Neosho, KS"
370000.0,"Johnson, KS"
69950.0,"Pawnee, KS"
120000.0,"Coffey, KS"
172700.0,"Pulaski, KY"
169900.0,"Harrison, KY"
203594.5,"Kenton, KY"
156250.0,"Logan, KY"
164000.0,"McCracken, KY"
140000.0,"Carter, KY"
149450.0,"Powell, KY"
159000.0,"Pike, KY"
369900.0,"Oldham, KY"
155000.0,"Montgomery, KY"
179450.0,"Boyle, KY"
168000.0,"Laurel, KY"
184900.0,"Simpson, KY"
139950.0,"Estill, KY"
154500.0,"Pendleton, KY"
273500.0,"Spencer, KY"
194995.0,"Nelson, KY"
110000.0,"Nicholas, KY"
162000.0,"Barren, KY"
242990.0,"Shelby, KY"
172900.0,"Garrard, KY"
134500.0,"Cumberland, KY"
175000.0,"Clark, KY"
138000.0,"Whitley, KY"
249950.0,"Fayette, KY"
135000.0,"Casey, KY"
89500.0,"Menifee, KY"
189900.0,"Calloway, KY"
132700.0,"Graves, KY"
170900.0,"Henderson, KY"
149900.0,"Adair, KY"
134244.0,"Hopkins, KY"
130000.0,"Fleming, KY"
249900.0,"Lyon, KY"
199700.0,"Meade, KY"
76000.0,"Ballard, KY"
93950.0,"McCreary, KY"
109900.0,"Jackson, KY"
147500.0,"Hart, KY"
97200.0,"Lewis, KY"
117000.0,"Morgan, KY"
169000.0,"Marshall, KY"
128900.0,"Muhlenberg, KY"
144900.0,"Larue, KY"
125000.0,"Boyd, KY"
171500.0,"Franklin, KY"
139000.0,"Knox, KY"
254070.0,"Jessamine, KY"
179900.0,"Trigg, KY"
149450.0,"Russell, KY"
235000.0,"Scott, KY"
124900.0,"Mason, KY"
139250.0,"Greenup, KY"
191450.0,"Edmonson, KY"
204900.0,"Daviess, KY"
119950.0,"Ohio, KY"
219500.0,"Campbell, KY"
184700.0,"Washington, KY"
165000.0,"Breckinridge, KY"
189900.0,"Grant, KY"
117250.0,"Clay, KY"
139900.0,"Christian, KY"
215000.0,"Jefferson, KY"
149500.0,"Grayson, KY"
257990.0,"Boone, KY"
107000.0,"Letcher, KY"
144900.0,"Taylor, KY"
174900.0,"Wayne, KY"
208900.0,"Hardin, KY"
149900.0,"Marion, KY"
139900.0,"Livingston, KY"
179900.0,"Madison, KY"
179250.0,"Allen, KY"
265000.0,"Woodford, KY"
164950.0,"Mercer, KY"
231490.0,"Bullitt, KY"
164900.0,"Anderson, KY"
139900.0,"Lincoln, KY"
129700.0,"Carroll, KY"
239999.0,"Warren, KY"
124900.0,"Johnson, KY"
124000.0,"Metcalfe, KY"
169000.0,"Rowan, KY"
171000.0,"Vermilion, LA"
218000.0,"Natchitoches, LA"
159900.0,"Grant, LA"
289500.0,"Cameron, LA"
145000.0,"Acadia, LA"
191000.0,"Lafourche, LA"
164900.0,"Caddo, LA"
169900.0,"Beauregard, LA"
122450.0,"Webster, LA"
180000.0,"Concordia, LA"
145000.0,"Iberia, LA"
160000.0,"Saint Bernard, LA"
110000.0,"Avoyelles, LA"
189900.0,"Tangipahoa, LA"
250000.0,"Saint Charles, LA"
234616.5,"Jefferson, LA"
145000.0,"Saint Mary, LA"
258900.0,"Saint Tammany, LA"
118500.0,"Morehouse, LA"
232800.0,"Lincoln, LA"
209000.0,"Livingston, LA"
159000.0,"Vernon, LA"
160000.0,"Washington, LA"
183500.0,"Assumption, LA"
180000.0,"Terrebonne, LA"
217900.0,"Calcasieu, LA"
149900.0,"Saint Landry, LA"
159000.0,"Saint John the Baptist, LA"
319000.0,"Orleans, LA"
289500.0,"De Soto, LA"
266895.0,"Pointe Coupee, LA"
213900.0,"Ouachita, LA"
189900.0,"Rapides, LA"
164450.0,"Jefferson Davis, LA"
227950.0,"West Baton Rouge, LA"
195500.0,"Iberville, LA"
160450.0,"Richland, LA"
230000.0,"East Baton Rouge, LA"
214500.0,"Lafayette, LA"
99000.0,"Evangeline, LA"
310000.0,"Plaquemines, LA"
185000.0,"Saint Martin, LA"
225000.0,"Sabine, LA"
267000.0,"Ascension, LA"
224900.0,"Bossier, LA"
484900.0,"Essex, MA"
244250.0,"Franklin, MA"
300000.0,"Hampshire, MA"
229000.0,"Hampden, MA"
1500000.0,"Dukes, MA"
