county_name,crime_rate_per_100000,IDNO,CPOPARST,CPOPCRIM,AG_ARRST,AG_OFF,COVIND,INDEX,MODINDX,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population,FIPS_ST,FIPS_CTY,State
Jefferson ,146.77756530000002,2302,45049,45049,10,10,100.0,66,475,1,15,6,44,140,319,16,7,44966,42,65,PA
Chittenden ,146.69466819999997,2839,157386,157386,13,13,100.0,234,4804,1,36,32,165,1013,3732,59,15,159515,50,7,VT
Washburn ,146.627566,3147,15953,15953,2,2,100.0,23,267,0,4,0,19,63,194,10,0,15686,55,129,WI
Brunswick ,146.5728831,1921,111188,108869,15,11,99.2767,169,3375,1,24,25,119,1341,1906,128,19,115301,37,19,NC
Jackson ,146.5201465,276,1389,1389,1,1,91.6667,2,7,0,0,0,2,2,4,0,0,1365,8,57,CO
Columbia ,146.505922,3092,57300,57055,7,7,100.0,83,936,0,15,3,65,224,685,27,4,56653,55,21,WI
Fulton ,146.2938882,137,11380,12343,3,7,97.55799999999999,18,193,0,3,1,14,34,148,11,1,12304,5,49,AR
Wise ,146.04768700000002,2799,60729,60729,4,4,100.0,89,872,1,8,7,73,235,582,55,1,60939,48,497,TX
Bradford ,146.02991210000002,2277,63019,63019,11,11,100.0,91,1219,0,25,5,61,284,880,55,15,62316,42,15,PA
Columbia ,145.9143969,2237,49753,49753,9,7,97.7606,72,840,0,14,6,52,177,602,61,7,49344,41,9,OR
Transylvania ,145.8833541,1999,33145,33145,5,3,100.0,48,560,0,6,8,34,176,362,22,2,32903,37,175,NC
Greer ,145.8434614,2182,6163,6163,2,2,100.0,9,39,0,1,1,7,10,25,4,1,6171,40,55,OK
Gibson ,145.7812686,730,33610,33610,4,4,91.4024,49,495,0,5,2,43,84,390,22,5,33612,18,51,IN
Cassia ,145.7288586,573,23343,23343,1,1,100.0,34,355,2,9,1,22,70,269,16,0,23331,16,31,ID
Charlevoix ,145.4322783,1257,26017,26017,5,5,100.0,38,383,0,25,0,13,60,314,9,2,26129,26,29,MI
Smyth ,145.3304688,2933,32594,32594,5,6,100.0,46,697,2,2,7,35,131,541,25,18,31652,51,173,VA
Madison ,145.1273492,2707,13953,13953,2,2,100.0,20,200,0,2,5,13,58,119,23,0,13781,48,313,TX
Logan ,145.11087959999998,1072,26860,26007,7,5,100.0,39,458,1,7,8,22,156,283,19,7,26876,21,141,KY
Colfax ,145.10462809999999,1819,13662,12621,5,4,100.0,19,335,0,3,3,13,168,153,15,4,13094,35,7,NM
Grundy ,144.85755669999998,1537,10247,10247,2,2,100.0,15,245,1,1,0,13,69,164,12,1,10355,29,79,MO
Sabine ,144.7736705,2752,10901,10044,3,2,100.0,15,124,0,2,5,8,40,81,3,2,10361,48,403,TX
Mason ,144.69267280000003,1082,17698,17698,4,3,100.0,25,550,0,6,5,14,139,395,16,3,17278,21,161,KY
