Price-RangeQ32018,Number of Records,Q3 2018 Price
"Less than $150,000",1,"$71,380"
"Less than $150,000",1,"$78,637"
"Less than $150,000",1,"$111,245"
"Less than $150,000",1,"$81,520"
"$150,000-$350,000",1,"$156,578"
"Less than $150,000",1,"$136,788"
"$150,000-$350,000",1,"$241,206"
"Less than $150,000",1,"$96,135"
"Less than $150,000",1,"$94,868"
"$150,000-$350,000",1,"$225,498"
"Less than $150,000",1,"$110,877"
"Less than $150,000",1,"$104,355"
"Less than $150,000",1,"$120,040"
"Less than $150,000",1,"$104,491"
"Less than $150,000",1,"$94,062"
"Less than $150,000",1,"$82,498"
"Less than $150,000",1,"$109,344"
"Less than $150,000",1,"$89,209"
"Less than $150,000",1,"$94,579"
"Less than $150,000",1,"$149,302"
"Less than $150,000",1,"$119,153"
"Less than $150,000",1,"$125,864"
"Less than $150,000",1,"$124,315"
"Less than $150,000",1,"$116,984"
"Less than $150,000",1,"$101,806"
"Less than $150,000",1,"$88,590"
"Less than $150,000",1,"$35,932"
"Less than $150,000",1,"$113,680"
"Less than $150,000",1,"$80,846"
"Less than $150,000",1,"$92,307"
"Less than $150,000",1,"$73,309"
"Less than $150,000",1,"$109,137"
"Less than $150,000",1,"$91,791"
"Less than $150,000",1,"$111,409"
"Less than $150,000",1,"$121,011"
"Less than $150,000",1,"$104,491"
"Less than $150,000",1,"$103,045"
"Less than $150,000",1,"$84,770"
"Less than $150,000",1,"$95,714"
"Less than $150,000",1,"$98,192"
"Less than $150,000",1,"$103,458"
"Less than $150,000",1,"$107,692"
"Less than $150,000",1,"$95,405"
"Less than $150,000",1,"$115,539"
"Less than $150,000",1,"$70,624"
"Less than $150,000",1,"$93,649"
"Less than $150,000",1,"$70,108"
"$150,000-$350,000",1,"$186,036"
"$150,000-$350,000",1,"$182,401"
"$150,000-$350,000",1,"$192,104"
"$150,000-$350,000",1,"$167,937"
"$150,000-$350,000",1,"$157,317"
"Less than $150,000",1,"$137,164"
"Less than $150,000",1,"$115,269"
"$150,000-$350,000",1,"$156,160"
"$150,000-$350,000",1,"$175,372"
"$150,000-$350,000",1,"$161,419"
"$150,000-$350,000",1,"$161,849"
"Less than $150,000",1,"$126,002"
"Less than $150,000",1,"$136,305"
"$150,000-$350,000",1,"$176,767"
"$150,000-$350,000",1,"$219,698"
"$150,000-$350,000",1,"$168,181"
"Less than $150,000",1,"$142,315"
"Less than $150,000",1,"$141,027"
"Less than $150,000",1,"$147,252"
"$150,000-$350,000",1,"$175,587"
"Less than $150,000",1,"$149,506"
"Less than $150,000",1,"$115,054"
"Less than $150,000",1,"$138,881"
"$150,000-$350,000",1,"$205,423"
"Less than $150,000",1,"$128,899"
"Less than $150,000",1,"$135,876"
"Less than $150,000",1,"$113,981"
"Less than $150,000",1,"$145,428"
"Less than $150,000",1,"$132,119"
"Less than $150,000",1,"$125,143"
"$150,000-$350,000",1,"$154,551"
"Less than $150,000",1,"$91,657"
"$150,000-$350,000",1,"$154,658"
"$150,000-$350,000",1,"$177,089"
"$150,000-$350,000",1,"$154,336"
"$150,000-$350,000",1,"$169,898"
"$150,000-$350,000",1,"$173,869"
"Less than $150,000",1,"$128,792"
"Less than $150,000",1,"$144,247"
"Less than $150,000",1,"$114,088"
"$150,000-$350,000",1,"$185,139"
"$150,000-$350,000",1,"$173,547"
"Less than $150,000",1,"$145,750"
"Less than $150,000",1,"$138,773"
"$150,000-$350,000",1,"$157,770"
"$150,000-$350,000",1,"$159,810"
"$150,000-$350,000",1,"$221,630"
"$150,000-$350,000",1,"$218,410"
"$150,000-$350,000",1,"$157,770"
"$150,000-$350,000",1,"$152,726"
"$150,000-$350,000",1,"$150,794"
"Less than $150,000",1,"$145,428"
"$150,000-$350,000",1,"$159,311"
"$150,000-$350,000",1,"$184,176"
"$150,000-$350,000",1,"$184,395"
"$150,000-$350,000",1,"$188,201"
"$150,000-$350,000",1,"$169,207"
"$150,000-$350,000",1,"$170,075"
"$150,000-$350,000",1,"$184,104"
"$150,000-$350,000",1,"$183,621"
"$150,000-$350,000",1,"$168,165"
"$150,000-$350,000",1,"$311,909"
"$150,000-$350,000",1,"$248,821"
"$150,000-$350,000",1,"$299,056"
"$150,000-$350,000",1,"$160,653"
"Less than $150,000",1,"$149,386"
"$150,000-$350,000",1,"$195,427"
"$150,000-$350,000",1,"$285,708"
"$150,000-$350,000",1,"$186,312"
"$150,000-$350,000",1,"$211,028"
"$150,000-$350,000",1,"$271,290"
"$150,000-$350,000",1,"$168,781"
"$150,000-$350,000",1,"$169,305"
"$150,000-$350,000",1,"$186,246"
"$150,000-$350,000",1,"$215,347"
"$150,000-$350,000",1,"$233,037"
"$150,000-$350,000",1,"$158,737"
"$150,000-$350,000",1,"$223,527"
"$150,000-$350,000",1,"$165,738"
"$150,000-$350,000",1,"$206,076"
"$150,000-$350,000",1,"$228,857"
"$150,000-$350,000",1,"$198,238"
"$150,000-$350,000",1,"$161,872"
"$150,000-$350,000",1,"$154,348"
"$150,000-$350,000",1,"$266,686"
"$150,000-$350,000",1,"$215,167"
"$150,000-$350,000",1,"$159,364"
"$150,000-$350,000",1,"$246,831"
"$150,000-$350,000",1,"$177,547"
"$150,000-$350,000",1,"$251,742"
"$150,000-$350,000",1,"$276,718"
"$150,000-$350,000",1,"$210,047"
"$750,000-$1,000,000",1,"$772,365"
"$150,000-$350,000",1,"$186,429"
"$150,000-$350,000",1,"$172,949"
"$150,000-$350,000",1,"$188,206"
"$150,000-$350,000",1,"$231,243"
